scenario,sample_id,architecture,method,status,error_px,iou,angular_error_deg,scale_ratio_error,runtime_ms,score,failure_mode
ablation_seed_11,dram_0000,dram,NCC,ok,20.160348825393697,0.5201368945164342,143.4605912555913,0.3083105779180046,54.45838700006789,0.5582442693412304,false_positive
ablation_seed_11,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,44.60285899995142,,missed_detection
ablation_seed_11,dram_0000,dram,HYBRID-EQUAL,ok,1.0475143822280957,0.8006381812514066,73.05568848115342,0.008293476743366895,281.62242600001264,0.7904713957113988,scale_orientation_error
ablation_seed_11,dram_0000,dram,HYBRID-CONFIDENCE,ok,1.0475143822280957,0.8006381812514066,73.05568848115342,0.008293476743366895,280.9311589999197,0.7005810458395435,scale_orientation_error
ablation_seed_11,finfet_0000,finfet,NCC,ok,4.703420154642105,0.3185741879038583,29.23093992913985,0.0024107473783663695,52.30315700009669,0.5569468289613724,scale_orientation_error
ablation_seed_11,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,49.48123499980284,,missed_detection
ablation_seed_11,finfet_0000,finfet,HYBRID-EQUAL,ok,0.4455461910060204,0.7264137134410202,58.264096666820365,0.003975967413010854,297.78011999997034,0.8255042748138429,scale_orientation_error
ablation_seed_11,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.4455461910060204,0.7264137134410202,58.264096666820365,0.003975967413010854,307.4894410001434,0.7520906980352313,scale_orientation_error
ablation_seed_29,dram_0000,dram,NCC,ok,94.90374481419079,0.06240084144777551,173.07574933330383,0.1330140259257089,53.503279000324255,0.6566069573163986,false_positive
ablation_seed_29,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,44.523530999867944,,missed_detection
ablation_seed_29,dram_0000,dram,HYBRID-EQUAL,ok,1.2297977540599998,0.8211377302293537,14.347160986544054,0.0010350090581669911,277.642693999951,0.5868021671764955,success
ablation_seed_29,dram_0000,dram,HYBRID-CONFIDENCE,ok,1.2297977540599998,0.8211377302293537,14.347160986544054,0.0010350090581669911,266.52985900000203,0.520601275400499,success
ablation_seed_29,finfet_0000,finfet,NCC,ok,27.045876523100866,0.3599065915671922,34.9848899689498,0.09800567584464956,52.51666399999522,0.5591728091239929,false_positive
ablation_seed_29,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,45.30218799982322,,missed_detection
